tid,r,l,t,s,i,a,g,f
9,120684.935062,129,13.49416,1,3422,Wrap-grasp,platform,success
9,119060.010843,142,29.461701,1,3422,Wrap-grasp,platform,success
9,120454.981414,131,45.503681,1,3422,Wrap-grasp,platform,success
9,120257.178008,166,63.026671,1,3422,Wrap-grasp,platform,success
9,119095.943327,145,80.312627,1,3422,Wrap-grasp,platform,success
9,117596.905175,95,95.645189,1,3422,Wrap-grasp,platform,success
9,120119.934438,111,111.794539,1,3422,Wrap-grasp,platform,success
9,118574.776241,133,127.203678,1,3422,Wrap-grasp,platform,success
9,118877.473959,144,143.503797,1,3422,Wrap-grasp,platform,success
9,117952.074233,107,159.050248,1,3422,Wrap-grasp,platform,success
9,120078.328321,99,174.697198,1,3422,Wrap-grasp,platform,success
9,117871.259032,117,192.129117,1,3422,Wrap-grasp,platform,success
9,118828.156956,115,210.514561,1,3422,Wrap-grasp,platform,success
9,117874.504903,111,228.367517,1,3422,Wrap-grasp,platform,success
9,120565.866431,167,247.746666,1,3422,Wrap-grasp,platform,success
